"Department Name & Visit Type","Visit Type","# Appts","% Web Booked","% No Show","% Canceled Only","% Rescheduled","Avg # Days"
"CASE MANAGEMENT","","","","","","",""
"CASE MANAGEMENT","COORDINATED CARE FOLLOW UP","48","12.50%","0.00%","14.58%","4.17%","0"
"CASE MANAGEMENT","COORDINATED CARE INITIAL EVALUATION","103","6.80%","2.91%","9.71%","2.91%","0"
"   CASE MANAGEMENT Total:","","151","8.61%","1.99%","11.26%","3.31%","0"
"DERMATOLOGY","","","","","","",""
"DERMATOLOGY","DERMATOLOGY EXAM","40","95.00%","0.00%","15.00%","0.00%","4"
"   DERMATOLOGY Total:","","40","95.00%","0.00%","15.00%","0.00%","4"
"HEALTH EDUCATION-PROMOTION","","","","","","",""
"HEALTH EDUCATION-PROMOTION","GYT HP VISIT","85","78.82%","7.06%","9.41%","0.00%","4"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION ALCOHOL FU","18","16.67%","0.00%","11.11%","16.67%","5"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION ALCOHOL INTAKE","42","80.95%","4.76%","11.90%","2.38%","4"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION DRUG FU","2","50.00%","0.00%","0.00%","0.00%","1"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION DRUG INTAKE","15","80.00%","13.33%","13.33%","13.33%","5"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION SMOKING CESSATION FU","6","50.00%","16.67%","50.00%","0.00%","5"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION SMOKING CESSATION INTAKE","2","100.00%","0.00%","0.00%","0.00%","2"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION STRESS CONSULT","32","68.75%","12.50%","34.38%","12.50%","4"
"HEALTH EDUCATION-PROMOTION","HEALTH EDUCATION STRESS FU","4","50.00%","0.00%","75.00%","0.00%","9"
"   HEALTH EDUCATION-PROMOTION Total:","","206","70.87%","7.28%","16.50%","4.85%","4"
"MASSAGE","","","","","","",""
"MASSAGE","MASSAGE","196","95.92%","0.51%","30.61%","0.00%","5"
"   MASSAGE Total:","","196","95.92%","0.51%","30.61%","0.00%","5"
"NURSING","","","","","","",""
"NURSING","ALLERGY INJECTION","222","62.16%","0.00%","14.86%","4.05%","22"
"NURSING","HEPATITIS A VACCINATION","42","83.33%","0.00%","7.14%","9.52%","5"
"NURSING","HPV VACCINATION","287","84.32%","0.35%","15.68%","4.88%","6"
"NURSING","IMMUNIZATION/ TUBERCULOSIS TESTING","171","59.65%","0.00%","14.04%","8.19%","10"
"NURSING","INFLUENZA VACCINATION","6","0.00%","0.00%","16.67%","0.00%","0"
"NURSING","NURSE CONSULT","20","5.00%","5.00%","0.00%","10.00%","2"
"NURSING","NURSE-TRAVEL EXAM","42","2.38%","7.14%","2.38%","19.05%","2"
"NURSING","NURSING VISIT","258","48.06%","5.04%","25.58%","4.65%","5"
