"AcademicLevel","InternationalStudent","CountryOfOrigin"
"5th Year Senior","True",""
"5th Year Senior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","True",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Freshman","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Doctoral","True",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"5th Year Senior","True",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Masters","True",""
"5th Year Senior","True",""
"Doctoral","True",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Freshman","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Masters","True",""
"Junior","False",""
"Junior","False",""
"Junior","True",""
"Junior","False",""
"Junior","True",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","True",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Junior","True",""
"Junior","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Junior","False",""
"Junior","True",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Sophomore","False",""
"Senior","False",""
"Sophomore","False",""
"Sophomore","False",""
"Sophomore","False",""
"5th Year Senior","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","True",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Senior","False",""
"Sophomore","False",""
"Sophomore","False",""
"Sophomore","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Sophomore","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Sophomore","False",""
"Sophomore","False",""
"Sophomore","False",""
"Sophomore","True",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","False",""
"Junior","True",""
"Junior","False",""
"Junior","False",""
"Masters","True",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Miscellaneous","False",""
"Sophomore","False",""
"Masters","True","Algeria"
"Doctoral","True","Argentina"
"Masters","True","Argentina"
"Masters","True","Argentina"
"Masters","True","Argentina"
"Doctoral","True","Armenia"
"5th Year Senior","True","Australia"
"Doctoral","True","Australia"
"Doctoral","True","Australia"
"Doctoral","True","Australia"
"Junior","True","Australia"
"Masters","True","Australia"
"Doctoral","True","Australia"
"Doctoral","True","Australia"
"Masters","True","Australia"
"Masters","True","Australia"
"Senior","True","Australia"
"Senior","True","Australia"
"Masters","True","Australia"
"Sophomore","True","Australia"
"Masters","True","Austria"
"Doctoral","True","Bangladesh"
"Doctoral","True","Bangladesh"
"Masters","True","Bangladesh"
"Masters","True","Bangladesh"
"Senior","True","Bangladesh"
"Masters","True","Barbados"
"Masters","True","Barbados"
"Masters","True","Bolivia"
"Masters","True","Bolivia"
"Senior","True","Bolivia"
"Doctoral","True","Brazil"
"Doctoral","True","Brazil"
"5th Year Senior","True","Brazil"
"Doctoral","True","Brazil"
"Doctoral","True","Brazil"
"Doctoral","True","Brazil"
"Doctoral","True","Brazil"
"Doctoral","True","Brazil"
"Masters","True","Brazil"
"Masters","True","Brazil"
"Junior","True","Brazil"
"Masters","True","Brazil"
"Masters","True","Brazil"
"Miscellaneous","True","Brazil"
"Senior","True","Brazil"
"Masters","True","Brunei"
"Doctoral","True","Bulgaria"
"Masters","True","Bulgaria"
"Masters","True","Cambodia/Kampuchea"
"5th Year Senior","True","Canada"
"5th Year Senior","True","Canada"
"Doctoral","True","Canada"
"5th Year Senior","True","Canada"
"5th Year Senior","True","Canada"
"5th Year Senior","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Junior","True","Canada"
"Masters","True","Canada"
"Doctoral","True","Canada"
"Junior","True","Canada"
"Junior","True","Canada"
"Masters","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Doctoral","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Junior","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Masters","True","Canada"
"Senior","True","Canada"
"Senior","True","Canada"
"Masters","True","Canada"
"5th Year Senior","True","Canada"
"Masters","True","Canada"
"Senior","True","Canada"
"Senior","True","Canada"
"Masters","True","Canada"
"Sophomore","True","Canada"
"Sophomore","True","Canada"
"Masters","True","Canada"
"Miscellaneous","True","Canada"
"Senior","True","Canada"
"Senior","True","Canada"
"Senior","True","Canada"
"Senior","True","Canada"
"5th Year Senior","True","Canada"
"5th Year Senior","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Doctoral","True","Canada"
"Masters","True","Canada"
"Senior","True","Canada"
"Senior","True","Canada"
"Doctoral","True","Chile"
"Doctoral","True","Chile"
"Doctoral","True","Chile"
"Masters","True","Chile"
"Doctoral","True","Chile"
"Doctoral","True","Chile"
"Masters","True","Chile"
"Masters","True","Chile"
"Masters","True","Chile"
"Senior","True","Chile"
"Doctoral","True","Chile"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Junior","True","China"
"Junior","True","China"
"Junior","True","China"
"Junior","True","China"
"Junior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"5th Year Senior","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
